1551	1180	977	1055	1496	2388	2900	2695	2962	1358	22	2251	1478	-16.66547317	-10.32438014	0
1456	1156	954	1037	1232	1972	2295	2148	2529	1212	22	2162	1226	-16.7456812	-12.94377065	0
1659	1430	1270	1436	1625	1854	2031	2000	2128	1221	22	2285	1641	-23.36420018	-15.12591055	0
1467	1317	1148	1101	1253	1929	2127	2251	2380	1234	22	1849	1364	-14.51178387	-10.9706957	0
1474	1287	1153	1242	1503	2473	2860	2983	3114	1317	22	2099	1282	-17.10366132	-11.52560826	0
1757	1173	962	1024	1233	1444	1585	1300	1684	1159	22	1706	1399	-13.69801299	-8.33676417	0
1528	1214	1024	1188	1152	2048	2357	3192	2884	1313	21	1893	1189	-15.88046017	-8.210671503	0
1489	1170	997	930	1309	2089	2443	2678	2505	1159	20	1937	1400	-13.92107895	-8.089058423	0
1496	1090	902	832	1124	2142	2465	2534	2600	1211	22	1859	1086	-13.75497936	-10.67976809	0
2237	1894	1797	2133	3250	3441	3749	2442	3428	1334	25	2448	2124	-19.06282287	-11.61049067	0
1530	1446	1210	1338	1377	1798	1969	2269	2115	1137	18	1981	1405	-15.25372359	-10.11924682	0
1576	1355	1141	1115	1249	2088	2615	2918	2835	1294	20	1853	1350	-19.95356739	-13.67020336	0
1517	1108	897	819	1161	1996	2294	2224	2543	1262	20	1763	1076	-15.19815481	-8.986326582	0
1467	1082	841	818	943	1912	2162	2527	2371	1216	21	1632	1005	-14.95293711	-8.506449156	0
1528	1156	945	836	1108	1583	1747	1577	1942	1004	23	1601	1154	-13.98141044	-9.610430671	0
1417	1115	897	852	1037	1869	2268	2356	2480	1287	21	1644	898	-12.85072557	-10.95958613	0
2009	1340	1193	1242	1481	1594	1741	1447	1934	1068	24	2373	2011	-16.77106131	-9.490241058	0
1473	1077	925	807	1032	1538	1678	1920	1854	994	18	1552	1081	-14.39539015	-7.924403981	0
1541	1133	896	842	1039	1646	1807	1579	2011	1154	18	1660	1094	-14.73766042	-2.17326107	0
1507	1173	910	878	1163	1960	2219	2081	2296	1298	18	1435	987	-15.03566069	-11.38189981	0
1459	1094	882	866	986	1691	1993	2271	2101	1143	20	1613	1046	-13.20630882	-7.041904117	0
1525	1535	1369	1445	1510	2198	2544	2160	2643	1219	19	2042	1523	-17.44701769	-10.31334512	0
1510	1054	893	817	989	1964	2393	1828	2685	1208	20	1457	1022	-13.31052194	-6.412141537	0
1572	1196	996	1042	1337	1850	2106	2415	2236	1170	20	1764	1154	-19.04147918	-12.16321158	0
1610	1267	1086	1085	1377	1962	2120	1565	2368	1069	20	1750	1274	-17.43172319	-9.36891708	0
1475	1061	843	838	1068	1803	2071	2035	2378	1371	20	1937	1110	-13.01993162	-7.96886657	0
1695	1385	1197	1309	1435	1950	2186	2105	2385	977	19	2040	1370	-20.30489726	-13.22584051	0
1452	1136	962	919	1255	3052	3940	4068	4198	2125	20	1667	729	-21.14808573	-15.55686883	0
1496	1210	999	966	1338	2185	2538	2082	2712	1174	18	1923	1292	-14.99737886	-9.070712364	0
1477	1200	950	933	1071	1971	2400	2358	2601	1212	20	1781	1099	-17.40612905	-11.49746089	0
2150	1861	1877	2090	2599	2790	2886	2527	3246	1574	27	2577	2033	-17.73858803	-8.526237092	0
1907	1577	1483	1660	1752	1785	1880	1776	1886	1019	21	1480	1295	-15.35279813	-6.012281826	0
1477	1111	920	828	1055	1544	1784	1474	1976	1149	18	1695	1122	-14.13397691	-8.477872286	0
1529	1173	1005	1006	1242	2090	2599	2883	2781	1264	21	1862	1034	-16.09456093	-7.294442989	0
1462	1194	1040	935	1243	2089	2311	2455	2664	1491	22	1931	1241	-16.06270179	-9.108382849	0
1600	1301	1272	1327	1546	2013	2058	2070	2364	1301	22	2012	1569	-15.96770077	-10.23737065	0
2112	1923	2022	2388	2417	2585	2605	2617	2696	1391	23	3019	2750	-23.37713706	-16.28757071	0
2010	2199	2150	2339	2402	2549	2581	2644	2637	1331	24	2869	2556	-26.2152045	-18.49819673	0
1770	1817	1781	1858	1850	2096	2268	2303	2490	1329	24	2503	1972	-21.60021778	-15.34890752	0
2021	1469	1202	1195	1204	1297	1287	1206	1207	1079	21	1424	1199	-16.03601404	-8.863142759	0
2068	2129	2142	2388	2359	2516	2674	2691	2781	1427	28	2766	2116	-26.34593211	-18.69568488	0
1613	1923	1760	1920	1980	2446	2724	2633	2935	1189	22	2172	1772	-20.59673994	-14.77292223	0
1463	1135	882	875	1293	1545	1804	1288	1883	1217	18	1274	861	-22.32036233	-16.19976962	0
1460	1135	945	844	1165	1759	1834	1822	2244	1149	21	1907	1204	-13.37215469	-8.227723037	0
1466	1273	1203	1147	1375	1903	2139	2390	2323	854	17	1410	1240	-15.02535307	-6.410448449	0
1515	1373	1314	1570	1903	2360	2619	2770	2922	1369	22	2724	1722	-18.95732716	-13.52784901	0
1795	1336	1168	1255	1611	2125	2383	2209	2578	1040	19	1975	1381	-17.35634678	-11.43789563	0
1904	1673	1623	1783	1682	2045	2107	2214	2131	1160	18	1809	1424	-17.43377667	-10.21789083	0
2182	1753	1782	2103	2012	2427	2391	2285	2452	1432	23	2222	1845	-17.03110994	-5.400913601	0
1612	1343	1196	1405	1694	2049	2338	2368	2510	1283	26	2521	1532	-20.81435893	-15.81771469	0
1584.5	1468	1437	1797.5	1949	2097.5	2268.5	2307.5	2540.5	1183.5	24.5	3695.5	2510	-25.45069385	-17.61408638	1
1510	1421	1406.5	1733	1848.5	1963.5	2114	2101.5	2324.5	1056	23.5	3306	2409.5	-26.31714463	-15.0080183	1
1605	1606.5	1730.5	2295.5	2500.5	2702	2954	2917.5	3247	1410	22.5	3603	2586.5	-25.46535583	-14.73727823	1
1481.5	1326	1292	1641.5	1825	1953.5	2130	2167.5	2402.5	1151.5	23	3568	2464	-24.89139008	-16.54309081	1
1592.5	1625.5	1731	2328.5	2537	2724	2978.5	2981	3297	1433	23.5	3888	2761	-24.96491363	-15.84707966	1
1352.5	1211	1126.5	1419.5	1515.5	1643.5	1818	1886.5	2070	965	21	3220.5	1990.5	-26.95733339	-13.22196162	1
